"income","exper","educ","motheduc","IQ"
100000,8,15,12,119
45000,14,12,9,74
36100,5,16,12,112
61600,2,17,8,102
41500,8,12,9,95
50000,9,13,6,81
115500,4,18,10,124
52500,14,12,7,89
62500,15,8,12,91
35000,5,13,7,117
67300,8,16,11,109
35100,10,12,7,88
72300,10,12,9,67
56900,6,15,12,81
24000,8,11,12,81
41300,1,17,12,119
84800,11,12,12,83
87400,10,16,16,101
26500,7,14,8,75
83900,8,16,12,109
57700,9,16,14,111
19600,10,12,1,104
47500,14,12,4,72
50000,9,11,4,87
94500,3,16,12,106
52000,5,16,10,118
47400,7,15,11,103
37500,10,12,6,91
47500,5,16,12,101
39300,5,16,12,121
50000,10,12,8,65
47500,15,12,12,85
36500,13,12,8,70
26300,15,12,6,90
101200,5,18,12,110
83300,5,17,12,102
34600,14,9,5,67
37500,15,11,11,88
41800,8,12,7,94
86500,17,10,12,97
51900,15,13,6,98
86500,14,13,12,101
85500,4,17,12,115
83100,9,18,17,122
87500,9,16,17,117
137400,13,14,8,105
45100,12,16,8,113
68400,10,18,17,101
91300,13,13,12,113
85500,14,13,12,88
37500,11,12,12,93
44100,5,16,5,117
41000,14,12,7,83
30000,6,15,12,103
69300,4,16,16,113
101200,6,18,10,124
45200,5,15,12,123
49200,3,18,16,98
57700,6,14,12,107
65500,15,12,10,114
70900,4,16,11,119
51100,6,14,9,82
62500,16,12,1,89
46000,5,14,10,111
62500,13,14,7,104
41400,8,13,4,73
52000,11,12,3,74
49000,7,12,3,77
42500,7,18,12,98
74500,7,13,12,97
32000,10,12,16,96
60600,6,17,14,99
32500,9,12,6,68
82100,10,13,12,83
81000,14,12,12,97
37400,8,12,12,98
30000,14,12,12,95
64100,8,18,13,103
58500,13,12,6,105
32500,12,12,5,86
61700,6,13,9,95
55000,4,16,7,100
62500,14,10,8,81
50000,15,10,6,85
27500,16,10,12,79
60000,4,18,4,101
57700,8,13,8,100
37500,9,12,8,84
30400,8,12,8,74
63500,7,14,11,107
67300,14,12,6,93
37500,19,9,6,69
77000,7,17,17,113
55800,3,17,16,114
176300,4,18,12,126
69500,16,12,8,92
50900,6,12,9,127
81800,15,12,6,109
60000,12,12,10,97
50700,9,11,0,66
60600,8,12,9,78
106800,9,16,16,109
163500,12,14,8,93
86000,8,16,4,109
75000,4,15,16,105
110600,15,12,10,66
29100,7,17,11,122
33200,8,12,11,103
41700,7,13,12,100
62500,11,13,8,85
46200,9,12,8,81
52000,6,18,12,105
15000,8,14,8,116
38500,5,18,4,121
57700,13,15,12,109
53800,10,18,14,121
80100,5,17,16,126
50000,1,17,16,120
89400,10,13,12,78
62500,7,14,12,54
32300,8,14,12,60
57700,14,12,8,98
24100,15,10,12,94
75800,5,17,13,128
197900,10,16,9,94
69500,14,12,12,98
49100,4,16,16,105
29800,8,13,12,87
30800,6,13,12,71
109700,5,13,12,117
41300,7,11,12,94
50000,7,12,11,88
58900,4,15,12,85
62500,9,13,12,102
77800,5,16,13,116
40000,7,13,8,82
127500,4,18,12,114
67300,10,12,11,65
28000,11,10,11,84
200300,6,18,12,105
86600,7,16,12,108
88000,11,15,12,93
55000,8,12,12,96
61000,8,14,7,92
57700,6,13,12,107
82400,7,16,12,106
86500,8,17,16,119
67300,12,14,8,82
84500,6,13,12,115
88500,5,14,12,77
69300,7,14,12,101
85100,16,12,12,97
73800,11,12,10,110
48100,5,14,10,86
79500,8,16,16,126
86900,16,12,12,96
57700,5,16,13,117
138500,10,17,12,111
67500,12,12,8,67
65700,15,12,12,102
120000,6,15,12,95
211500,16,12,0,64
59500,12,10,12,118
83300,11,15,12,104
72100,11,14,7,118
16700,13,12,12,71
46700,7,14,12,114
64300,3,18,13,118
60000,15,13,12,75
40000,6,12,10,149
100000,5,13,12,108
66600,8,14,12,108
78500,8,14,12,112
66700,7,15,12,108
30000,9,10,8,93
69700,8,16,12,119
43800,13,14,12,94
68500,6,13,11,68
41400,6,14,6,103
75100,7,12,14,104
23100,7,13,16,119
50500,7,16,14,90
60000,8,16,12,129
105800,8,18,18,125
62700,11,15,11,100
105000,11,16,8,112
98300,8,18,16,128
128200,10,18,13,84
81800,8,12,12,84
50000,1,17,16,120
72000,14,12,8,97
53800,11,12,12,102
30000,8,11,9,91
99600,5,18,12,131
58200,5,17,12,107
23100,4,16,12,126
53900,3,16,12,107
62800,13,15,8,92
23100,5,16,12,92
71600,5,18,12,119
50000,5,15,12,76
20000,8,11,10,107
110600,11,16,9,111
58300,11,12,11,92
40400,8,16,12,115
27700,5,16,12,123
96200,2,17,11,107
69200,9,15,12,107
56300,10,12,12,105
67300,11,14,12,111
85600,10,16,11,107
26000,10,16,4,117
57500,7,15,4,116
62600,5,13,8,108
144300,14,12,12,115
33600,8,14,11,101
57700,9,12,11,98
25000,7,15,0,87
109000,9,18,12,114
46200,2,18,12,116
62500,14,12,12,90
81700,3,16,8,115
36100,8,14,4,113
32000,9,12,12,87
34700,10,16,12,91
28200,10,10,2,90
69900,6,12,14,125
61500,6,12,10,107
43300,8,11,12,88
53400,3,16,12,117
62500,4,16,12,92
57700,2,18,12,122
84300,6,12,12,98
40400,4,16,12,123
101400,7,18,12,116
32500,7,16,4,114
77100,9,15,8,91
70000,4,14,13,125
54800,1,17,7,126
62500,4,16,5,101
91100,6,16,7,101
74500,15,12,16,116
67400,6,12,12,103
81700,6,16,12,113
77000,4,15,10,111
72700,6,15,9,116
68800,7,14,12,94
56000,6,14,13,108
50000,6,16,14,123
72600,6,16,12,109
96200,11,16,12,124
61500,10,17,14,89
115400,13,13,10,114
67500,10,13,8,121
42200,8,12,10,103
106300,7,12,12,96
117500,9,18,14,117
120000,11,12,12,100
80100,10,15,12,91
54300,13,12,11,97
75000,12,14,12,94
45000,14,14,10,103
85500,15,12,12,101
72800,6,14,8,94
69300,16,12,11,112
102500,11,10,12,73
115400,8,14,8,104
72700,13,15,0,105
53500,14,14,11,106
53200,7,12,11,101
28900,7,13,11,86
31300,3,17,12,119
40400,5,13,16,83
110000,6,18,12,114
66000,9,12,2,104
43300,14,12,12,99
40000,4,17,16,126
26300,5,15,13,101
57700,12,16,18,109
43300,6,12,13,110
47000,2,17,12,104
25500,2,17,14,118
104900,12,12,12,90
184600,11,17,4,98
76900,12,15,12,112
47900,4,16,18,128
34100,2,16,13,113
90600,12,14,12,102
35100,15,12,8,93
77500,11,12,9,92
70000,8,12,9,124
59200,4,16,12,119
53300,9,12,8,96
41700,3,16,13,110
139400,10,18,12,118
54800,16,12,10,96
65700,7,11,12,80
62400,10,13,12,137
44200,9,16,12,113
57700,6,15,12,93
54000,8,13,12,93
84100,9,15,12,116
72400,9,14,8,106
57700,13,12,12,69
51100,11,12,6,78
31100,4,15,7,87
57700,16,12,8,99
63100,9,12,16,92
66600,3,16,16,113
40000,7,14,12,119
42300,10,13,12,98
64700,5,16,16,99
84000,3,16,14,112
62500,4,15,12,115
91900,9,16,6,117
73000,13,12,8,96
48300,9,14,12,75
41100,7,12,10,108
50000,4,17,16,92
73300,12,15,16,95
45900,11,13,12,88
72100,6,16,12,106
69900,11,15,8,95
78500,10,14,15,94
92500,7,16,13,105
44900,6,14,13,115
32500,3,15,14,117
47000,4,18,14,93
54100,16,12,7,115
57700,10,16,14,98
106800,10,16,12,105
72100,14,12,7,109
67300,8,17,11,95
73900,4,17,12,120
80100,12,13,12,91
55000,7,13,12,109
54000,9,12,12,87
79000,10,16,13,110
69300,8,14,10,97
25000,4,16,10,110
63500,17,9,4,74
41300,14,12,9,95
41300,13,12,12,85
53100,13,14,10,105
63500,7,16,10,122
14400,7,14,12,114
55000,11,14,13,129
48600,14,12,8,100
59800,8,17,14,108
80000,5,16,12,122
81200,5,16,9,119
43300,3,17,8,129
75100,5,17,8,79
29400,6,14,12,109
42700,7,12,12,105
54200,7,14,14,101
48000,7,12,12,83
72300,15,12,8,110
22000,7,12,14,92
120200,7,13,10,113
40000,5,13,12,115
60100,7,16,12,109
48100,11,12,8,114
70000,11,16,12,110
76900,9,12,9,102
52900,5,14,9,118
45000,8,16,9,112
64900,13,13,0,114
71900,11,16,8,102
67300,12,16,10,83
35000,0,18,12,107
76900,8,14,9,81
65000,8,12,6,85
75100,15,9,4,72
40100,10,12,6,86
45000,13,12,12,68
17300,5,17,15,115
26000,16,12,6,95
38500,3,16,12,87
81700,11,17,12,116
96200,8,16,12,95
40800,9,13,12,94
62000,8,14,10,96
23000,7,12,12,99
115500,8,18,12,106
50000,10,12,2,85
75000,7,12,12,100
32300,3,15,12,92
103800,9,13,12,101
49100,3,16,15,104
52500,10,13,12,88
73700,6,15,16,97
59900,6,14,10,83
113100,9,18,18,71
40000,4,16,12,117
29000,7,12,5,65
38000,7,13,10,87
65600,6,12,9,116
71100,14,12,12,106
48100,9,14,12,93
64100,3,16,12,112
59600,14,12,14,98
153800,10,16,14,103
86000,15,12,12,103
30800,9,12,12,91
54000,10,13,10,87
34400,8,13,10,100
50000,7,12,10,96
37800,3,18,10,62
18800,4,15,10,60
100000,10,12,8,83
53800,6,12,10,123
35500,7,13,8,67
102600,8,13,13,104
29500,9,17,14,106
55000,8,12,6,85
53800,9,12,8,81
71100,9,12,12,109
22900,11,12,4,76
22000,9,12,3,73
31000,11,12,2,62
30300,9,12,9,76
45000,7,13,12,104
43800,8,12,11,103
84600,10,16,12,106
31300,6,14,14,112
42900,13,12,9,94
49000,9,14,9,83
40000,13,14,2,91
70000,14,11,10,81
38100,16,10,5,87
46500,10,12,12,118
55000,9,13,8,85
44000,9,12,8,73
45700,8,12,6,75
43800,9,12,5,95
55000,9,12,5,102
65000,3,16,16,107
42300,9,11,3,86
42000,8,13,8,104
20000,5,14,8,106
71400,12,12,7,95
39800,7,12,8,116
39800,14,9,8,66
73400,6,16,0,101
68800,7,12,12,96
45500,13,12,9,104
57700,6,16,16,138
69900,9,16,14,105
37500,5,16,12,106
22000,11,12,4,67
34100,4,16,10,97
28800,10,15,9,108
86600,6,18,13,125
43300,7,12,8,106
40000,11,12,6,99
54700,14,12,12,96
50000,5,14,12,114
35500,2,16,15,117
60000,11,12,12,105
65000,16,12,3,106
84800,14,12,8,102
45700,4,14,5,99
41300,15,13,12,90
64900,3,16,16,101
72100,6,16,12,118
91300,14,12,9,108
37500,7,13,5,101
59200,3,18,12,127
76400,10,16,12,114
27500,8,11,10,76
96200,6,16,16,132
62500,10,12,3,50
62500,11,12,10,55
46300,9,11,9,84
26600,6,13,12,69
21400,13,10,9,69
68800,10,12,12,104
45700,16,10,10,92
33500,8,13,12,97
48100,10,12,10,83
64200,8,12,10,98
57300,9,10,10,70
40000,7,13,4,87
30000,3,15,12,96
58000,18,10,12,80
32100,4,14,12,102
55300,7,16,12,104
72100,7,18,9,104
72900,6,13,12,101
31400,7,12,8,115
67300,4,17,11,107
48300,4,16,10,98
76900,3,16,10,96
62600,8,12,11,99
80300,7,16,12,112
44700,3,16,12,118
31900,7,15,9,83
61600,8,16,12,107
35400,10,12,12,91
42500,4,18,12,96
26500,8,12,12,89
42600,4,14,13,118
25000,7,12,10,113
56000,2,17,12,116
28900,11,12,7,105
39300,4,16,7,120
57700,8,12,7,107
34600,9,17,11,94
128200,6,16,12,98
86500,5,17,16,126
41300,4,14,16,96
40400,7,14,7,84
72100,13,12,7,108
57700,12,12,8,104
50000,8,12,8,110
25000,11,12,6,96
15500,8,12,7,106
40600,9,12,7,68
35000,15,12,3,83
50000,18,10,12,70
84600,8,16,11,104
57700,11,12,12,87
40000,6,16,12,110
74100,17,11,12,87
35000,5,14,12,100
43800,8,12,14,91
75100,8,16,12,109
57700,6,18,14,112
40400,8,16,12,106
61600,12,12,12,94
38500,9,12,6,95
67200,9,15,12,89
62500,10,12,10,85
50000,10,10,12,97
33100,9,12,7,83
58500,10,12,10,99
32000,9,13,9,75
30000,11,11,9,68
73800,10,16,12,107
64100,7,13,7,105
37500,12,9,8,75
53500,14,13,5,83
36100,11,10,6,86
30000,12,9,7,96
55800,10,12,12,90
48600,16,12,5,86
53400,8,12,12,101
121500,5,16,13,84
57700,5,17,12,116
25000,7,14,10,99
40000,8,12,11,107
30000,10,13,14,116
41600,4,15,11,109
74000,7,16,12,76
27300,8,15,12,72
28900,3,16,12,65
30600,8,12,12,93
57300,9,18,7,108
38900,16,12,12,107
110600,10,16,12,110
24500,2,16,10,114
40000,12,12,6,72
30000,9,10,9,117
55300,5,16,15,107
40900,7,12,9,114
52300,5,13,10,120
51300,4,16,12,97
69100,11,14,14,130
42500,5,16,12,107
54200,6,12,12,100
50500,7,12,11,103
59100,2,17,10,108
41900,3,16,13,111
37500,4,16,12,114
36900,3,17,2,112
43800,9,11,8,95
61900,6,17,13,138
63500,11,16,12,96
50000,8,12,11,105
87500,14,12,11,98
20000,14,11,8,62
24500,12,12,8,67
96200,5,17,12,97
74300,4,16,12,112
45000,6,12,9,102
79400,15,11,0,70
46200,12,14,8,92
22500,13,10,5,90
57700,9,13,10,83
20000,9,10,8,75
53900,7,16,16,95
35400,6,16,12,104
25000,11,11,15,85
69300,6,16,12,114
42000,10,12,12,82
36600,15,12,16,65
91300,9,16,8,113
34000,11,11,9,100
46300,14,9,5,68
20000,12,12,2,76
31500,3,15,8,101
62500,8,16,8,78
45000,11,12,12,101
26300,9,12,7,100
43200,7,14,12,105
51300,8,16,16,82
38500,4,16,11,79
50000,8,13,8,102
47000,6,12,7,77
