bwght,faminc,male,cigs
3713.7876,42.5,1,0
3713.7876,0.5,0,0
3713.7876,27.5,0,0
3713.7876,65,1,0
3713.7876,32.5,1,0
3713.7876,17.5,1,0
3713.7876,18.5,0,0
3713.7876,7.5,0,0
3713.7876,65,1,0
3713.7876,65,0,0
3742.137,42.5,1,0
3742.137,32.5,0,0
3742.137,27.5,0,0
3742.137,65,1,0
3742.137,10.5,1,0
3742.137,9.5,1,0
3742.137,22.5,0,7
3742.137,37.5,1,0
3742.137,27.5,0,0
3742.137,10.5,1,0
3742.137,37.5,0,0
3742.137,22.5,1,20
3742.137,17.5,1,0
3742.137,37.5,1,0
3742.137,22.5,0,0
3742.137,27.5,1,0
3742.137,9.5,1,0
3742.137,27.5,0,0
3742.137,47.5,1,0
3742.137,65,0,0
3770.4866,7.5,1,0
3770.4866,11.5,1,0
3770.4866,27.5,1,0
3770.4866,65,1,0
3770.4866,6.5,1,0
3770.4866,7.5,1,0
3770.4866,14.5,1,0
3770.4866,32.5,0,0
3770.4866,16.5,1,0
3770.4866,10.5,0,0
3770.4866,42.5,0,0
3770.4866,1.5,1,0
3770.4866,27.5,0,0
3770.4866,65,0,0
3770.4866,18.5,1,0
3770.4866,8.5,1,0
3770.4866,27.5,1,0
3770.4866,65,0,10
3770.4866,14.5,1,0
3770.4866,19.5,0,0
3770.4866,4.5,1,5
3798.8362,47.5,0,0
3798.8362,10.5,1,0
3798.8362,22.5,0,0
3798.8362,17.5,0,7
3798.8362,0.5,1,0
3798.8362,65,0,0
3798.8362,32.5,0,0
3798.8362,32.5,1,0
3798.8362,32.5,0,0
3798.8362,15.5,1,0
3798.8362,65,0,0
3798.8362,9.5,1,0
3798.8362,22.5,1,0
3798.8362,2.5,1,0
3798.8362,22.5,1,0
3798.8362,18.5,1,0
3798.8362,22.5,0,0
3798.8362,65,0,0
3798.8362,18.5,1,0
3798.8362,27.5,0,0
3798.8362,65,0,0
3798.8362,10.5,0,0
3798.8362,42.5,0,0
3798.8362,27.5,1,0
3798.8362,47.5,0,0
3798.8362,27.5,1,0
3798.8362,27.5,1,0
3798.8362,22.5,0,0
3827.1855,10.5,1,0
3827.1855,65,1,0
3827.1855,22.5,0,0
3827.1855,27.5,0,0
3827.1855,7.5,1,0
3827.1855,32.5,1,0
3827.1855,27.5,1,0
3827.1855,37.5,0,0
3827.1855,65,0,0
3827.1855,4.5,1,0
3827.1855,18.5,0,0
3827.1855,27.5,1,10
3827.1855,65,0,0
3827.1855,17.5,1,0
3827.1855,3.5,1,0
3827.1855,22.5,1,0
3855.5352,37.5,0,0
3855.5352,42.5,0,0
3855.5352,42.5,0,0
3855.5352,4.5,0,0
3855.5352,3.5,1,0
3855.5352,47.5,0,0
3855.5352,65,1,0
3855.5352,32.5,1,0
3855.5352,19.5,0,0
3855.5352,22.5,1,40
3855.5352,37.5,0,0
3855.5352,22.5,1,0
3855.5352,22.5,1,0
3855.5352,22.5,1,0
3855.5352,16.5,1,0
3855.5352,47.5,1,0
3855.5352,37.5,1,0
3855.5352,42.5,0,0
3855.5352,3.5,1,0
3855.5352,27.5,0,0
3855.5352,65,1,0
3855.5352,32.5,0,0
3855.5352,65,1,0
3855.5352,27.5,0,0
3855.5352,11.5,1,0
3855.5352,37.5,1,0
3855.5352,4.5,1,0
3855.5352,27.5,0,0
3855.5352,22.5,1,0
3855.5352,32.5,1,0
3883.8848,32.5,0,0
3883.8848,47.5,1,0
3883.8848,65,0,0
3883.8848,27.5,1,0
3883.8848,22.5,0,0
3883.8848,12.5,0,0
3883.8848,37.5,1,0
3883.8848,7.5,1,0
3883.8848,27.5,0,0
3883.8848,18.5,0,0
3883.8848,65,0,0
3883.8848,27.5,0,0
3883.8848,22.5,0,3
3883.8848,65,0,0
3883.8848,32.5,1,20
3883.8848,12.5,1,0
3912.2341,65,0,0
3912.2341,16.5,1,0
3912.2341,22.5,0,0
3912.2341,27.5,1,0
3912.2341,32.5,0,0
3912.2341,6.5,0,0
3912.2341,37.5,0,0
3912.2341,18.5,0,0
3912.2341,3.5,1,30
3912.2341,6.5,0,0
3912.2341,32.5,0,0
3912.2341,42.5,0,6
3912.2341,15.5,1,0
3912.2341,4.5,1,0
3940.5837,22.5,1,0
3940.5837,9.5,0,0
3940.5837,32.5,0,0
3940.5837,47.5,0,0
3940.5837,65,1,0
3940.5837,32.5,1,0
3940.5837,37.5,0,0
3940.5837,65,1,2
3940.5837,32.5,1,0
3940.5837,14.5,0,0
3940.5837,11.5,0,3
3940.5837,2.5,0,0
3940.5837,22.5,1,0
3940.5837,32.5,1,0
3940.5837,15.5,1,0
3940.5837,11.5,0,0
3940.5837,19.5,0,5
3940.5837,65,1,0
3940.5837,19.5,0,0
3940.5837,27.5,1,0
3940.5837,6.5,1,0
3968.9333,27.5,1,0
3968.9333,65,1,0
3968.9333,65,1,0
3968.9333,32.5,1,0
3968.9333,32.5,1,0
3968.9333,22.5,0,0
3968.9333,65,1,0
3968.9333,15.5,1,20
3968.9333,65,0,0
3968.9333,3.5,1,0
3997.2827,32.5,0,0
3997.2827,42.5,0,0
3997.2827,65,0,0
3997.2827,42.5,1,0
3997.2827,0.5,1,0
3997.2827,65,1,0
3997.2827,65,1,0
3997.2827,22.5,1,0
3997.2827,22.5,0,0
3997.2827,37.5,1,1
3997.2827,65,0,0
3997.2827,8.5,1,5
3997.2827,42.5,1,0
3997.2827,37.5,1,0
3997.2827,32.5,1,0
3997.2827,19.5,0,0
3997.2827,42.5,0,0
3997.2827,65,0,0
3997.2827,1.5,1,0
4025.6323,1.5,1,0
4025.6323,65,0,0
4025.6323,9.5,0,20
4025.6323,65,0,0
4025.6323,47.5,0,0
4025.6323,42.5,0,0
4025.6323,5.5,1,0
4025.6323,22.5,1,0
4025.6323,65,1,0
4025.6323,1.5,1,20
4025.6323,22.5,1,0
4025.6323,27.5,1,0
4025.6323,13.5,1,0
4025.6323,6.5,1,0
4025.6323,37.5,1,0
4053.9817,15.5,1,0
4053.9817,11.5,1,10
4053.9817,47.5,1,0
4053.9817,18.5,0,10
4053.9817,13.5,1,0
4053.9817,32.5,0,0
4053.9817,65,0,0
4053.9817,65,1,0
4053.9817,42.5,0,0
4053.9817,32.5,0,10
4053.9817,27.5,0,0
4053.9817,65,0,0
4053.9817,17.5,0,4
4082.3313,14.5,1,10
4082.3313,22.5,1,0
4082.3313,1.5,0,0
4082.3313,42.5,1,0
4082.3313,27.5,1,0
4082.3313,22.5,0,0
4082.3313,32.5,0,0
4082.3313,22.5,0,0
4082.3313,14.5,0,0
4082.3313,9.5,0,0
4082.3313,32.5,1,0
4082.3313,22.5,1,0
4082.3313,8.5,0,0
4082.3313,22.5,1,0
4082.3313,2.5,1,0
4082.3313,15.5,1,0
4082.3313,18.5,1,0
4110.6807,47.5,1,0
4110.6807,65,1,0
4110.6807,22.5,0,0
4110.6807,65,0,0
4110.6807,47.5,0,0
4110.6807,47.5,1,0
4110.6807,32.5,1,0
4110.6807,42.5,0,0
4110.6807,16.5,1,0
4110.6807,8.5,1,0
4139.0303,32.5,0,0
4139.0303,65,1,0
4139.0303,32.5,0,0
4139.0303,22.5,1,0
4139.0303,65,1,0
4139.0303,65,0,0
4139.0303,5.5,1,0
4139.0303,37.5,0,0
4139.0303,65,0,0
4139.0303,47.5,1,0
4139.0303,27.5,1,0
4139.0303,19.5,1,0
4167.3799,4.5,1,0
4167.3799,65,1,0
4167.3799,18.5,0,0
4167.3799,65,0,0
4167.3799,65,1,0
4167.3799,42.5,0,0
4167.3799,17.5,1,0
4167.3799,47.5,1,0
4167.3799,22.5,0,0
4195.7295,65,0,0
4195.7295,22.5,1,0
4195.7295,6.5,0,0
4195.7295,27.5,0,10
4195.7295,37.5,1,0
4224.0791,32.5,0,20
4224.0791,19.5,0,0
4224.0791,15.5,0,0
4224.0791,47.5,1,0
4224.0791,37.5,1,0
4224.0791,2.5,0,10
4224.0791,15.5,1,0
4224.0791,16.5,1,0
4224.0791,22.5,1,0
4224.0791,6.5,0,0
4252.4287,47.5,1,0
4252.4287,32.5,1,0
4252.4287,65,1,0
4280.7778,32.5,1,0
4280.7778,65,1,0
4280.7778,5.5,1,20
4280.7778,32.5,1,0
4280.7778,32.5,1,0
4280.7778,22.5,0,0
4309.1274,32.5,1,0
4309.1274,65,1,0
4309.1274,32.5,0,0
4309.1274,65,1,0
4309.1274,65,1,0
4309.1274,19.5,1,0
4309.1274,22.5,1,0
4309.1274,37.5,0,0
4309.1274,65,1,0
4309.1274,27.5,0,0
4337.4771,42.5,0,6
4337.4771,27.5,0,0
4337.4771,65,1,0
4337.4771,4.5,1,0
4365.8267,12.5,1,0
4365.8267,4.5,0,0
4365.8267,22.5,0,0
4394.1763,16.5,1,0
4394.1763,22.5,1,0
4394.1763,27.5,0,0
4394.1763,65,1,0
4422.5254,32.5,0,0
4422.5254,22.5,0,0
4422.5254,32.5,1,0
4422.5254,37.5,1,0
4422.5254,37.5,0,0
4422.5254,22.5,1,0
4450.875,37.5,1,0
4450.875,27.5,0,0
4479.2246,47.5,1,0
4479.2246,6.5,0,0
4479.2246,0.5,1,0
4507.5742,27.5,1,10
4507.5742,42.5,1,0
4507.5742,47.5,1,0
4507.5742,3.5,0,0
4507.5742,37.5,1,0
4507.5742,65,0,0
4535.9238,16.5,1,0
4535.9238,47.5,1,0
4535.9238,27.5,0,0
4535.9238,8.5,1,0
4535.9238,10.5,1,0
4535.9238,22.5,1,0
4564.2734,22.5,1,0
4564.2734,32.5,0,0
4564.2734,37.5,1,0
4649.3218,5.5,0,0
4706.021,47.5,1,0
4706.021,17.5,1,0
4706.021,47.5,0,0
4734.3706,27.5,1,0
4791.0693,42.5,1,0
4819.4189,37.5,0,0
4876.1182,65,0,0
4989.5161,22.5,1,0
5443.1084,32.5,1,0
